Date,Total_Revenue,Revenue_by_Product,Revenue_by_Service,Revenue_by_Region,Total_Expenses,Operational_Expenses,Salaries,Marketing_Expenses,RD_Expenses,Miscellaneous_Expenses,Gross_Profit,Net_Profit,Profit_Margin_Percentage,Cash_Inflows,Cash_Outflows,Net_Cash_Flow,Cash_Flow_from_Operating_Activities
2024-02-01,555245,Product A,Service C,Oceania,281191,97952,38416,24855,7010,3436,383576,383576,0,505563,664435,-158872,466576
2024-03-09,929248,Product A,Service A,Oceania,294615,192955,94678,7090,27809,4498,602218,602218,0,853818,503682,350136,200968
2024-01-18,297456,Product A,Service A,Asia,217064,107030,14832,26666,48672,112,100144,100144,0,529776,23188,506588,10115
2023-09-12,591005,Product A,Service C,Asia,401776,184696,19364,4539,14726,676,367004,367004,0,366706,369947,-3241,145304
2023-09-27,306487,Product A,Service B,North America,14432,109174,56351,33382,28838,3656,75086,75086,0,80298,554179,-473881,273723
2023-11-24,509438,Product B,Service C,North America,95116,174403,73685,21987,35407,3067,200889,200889,0,621558,734875,-113317,34539
2024-05-16,101437,Product C,Service C,Europe,419365,141260,76548,38731,26968,3314,-185384,-185384,-200,912021,697866,214155,735317
2024-03-07,466390,Product A,Service B,Africa,249660,174380,4144,28776,23423,976,234691,234691,0,997285,426034,571251,777136
2023-08-18,208422,Product C,Service C,Oceania,312221,80927,67066,10272,8055,1416,40686,40686,0,325069,78624,246445,129324
2024-01-09,589105,Product B,Service A,Africa,339017,68013,68885,23263,27836,2594,398514,398514,0,614829,458866,155963,93520
2024-01-27,568563,Product C,Service C,North America,22286,21348,16697,30908,31642,2431,465537,465537,0,838332,573574,264758,225209
2023-08-18,941813,Product B,Service B,Europe,207219,72556,51753,24935,45631,900,746038,746038,0,377654,679463,-301809,353141
2023-11-16,460722,Product C,Service A,Oceania,349933,196149,40221,38553,1632,422,183745,183745,0,924390,722885,201505,301843
2024-03-10,805163,Product C,Service A,Africa,445118,48535,92334,19525,38730,2077,603962,603962,0,570316,638684,-68368,473800
2023-07-04,370557,Product C,Service A,South America,426471,160703,54682,5592,24246,1618,123716,123716,0,961856,682198,279658,105187
2023-08-06,912029,Product C,Service A,South America,434894,167926,48987,14446,32169,920,647581,647581,0,32888,131034,-98146,766111
2023-06-09,529974,Product A,Service B,North America,442246,150260,57283,20154,10208,562,291507,291507,0,364472,714106,-349634,326947
2023-07-27,669141,Product C,Service C,Europe,371698,66477,86903,18090,7979,3690,486002,486002,0,368127,81497,286630,492626
2023-09-11,497184,Product A,Service C,South America,113003,57664,89245,37620,40021,4852,267782,267782,0,454435,8484,445951,605312
2024-02-24,619026,Product B,Service A,Europe,304081,194767,93522,22641,36881,2332,268883,268883,0,618329,297730,320599,392909
2023-11-21,393035,Product B,Service B,Oceania,287215,133802,62567,19397,30765,2111,144393,144393,0,877905,226188,651717,680189
2023-07-24,951040,Product C,Service C,South America,66784,199224,45166,13066,49184,2187,642213,642213,0,704178,258227,445951,890220
2023-08-22,585016,Product C,Service B,Oceania,169995,17849,81909,46227,15025,1690,422316,422316,0,818367,209366,609001,660939
2024-02-02,51297,Product B,Service A,South America,308042,12730,5086,38232,27597,4577,-36925,-36925,-100,249441,238458,10983,489168
2023-07-06,183131,Product C,Service B,Africa,74826,137643,20743,2434,13391,4255,4665,4665,0,961081,83214,877867,760503
2023-10-09,308400,Product A,Service B,North America,168674,30422,23273,39528,10690,2852,201635,201635,0,384355,61164,323191,668962
2024-04-23,951039,Product B,Service C,South America,296974,126633,50423,10647,2419,4720,756197,756197,0,346909,790635,-443726,148140
2023-12-02,941747,Product C,Service B,Europe,183119,57849,82883,35820,38114,2630,724451,724451,0,699844,243695,456149,144841
2024-04-26,275704,Product A,Service A,Africa,344399,39998,66239,37585,12395,4509,114978,114978,0,342144,619094,-276950,440056
2024-04-07,358175,Product B,Service B,Asia,491767,112294,15804,1584,16571,365,211557,211557,0,300748,762714,-461966,263943
2024-03-28,459114,Product B,Service B,Oceania,378341,90169,11089,31770,9589,2205,314292,314292,0,24834,616447,-591613,528695
2024-04-25,198349,Product A,Service C,Africa,211153,20343,10150,27199,34181,1656,104820,104820,0,366711,409685,-42974,123894
2023-11-09,941684,Product C,Service A,South America,266945,6051,65579,16558,45539,725,807232,807232,0,503105,853622,-350517,966853
2023-07-21,907208,Product B,Service B,Europe,17408,68437,71603,44402,30647,4596,687523,687523,0,544392,465395,78997,712470
2024-02-01,573429,Product C,Service B,Africa,471824,142343,98712,32795,22111,2853,274615,274615,0,82863,417075,-334212,964734
2024-03-04,575778,Product C,Service B,Europe,107329,143361,49388,38317,49407,2787,292518,292518,0,871186,367974,503212,917240
2024-01-06,578953,Product B,Service B,Africa,248925,10168,14084,47349,22247,3993,481112,481112,0,99475,770632,-671157,885971
2023-10-29,700913,Product C,Service C,South America,228195,79935,47466,30243,23747,2422,517100,517100,0,538573,252671,285902,485106
2024-04-21,719147,Product B,Service B,Asia,10749,50970,14888,23886,39603,1165,588635,588635,0,267132,276293,-9161,964183
